id	date	tags	likes	dislikes	count_comments	count_views	duration	sec_duration
V8g5clEU6PE	2020-01-09T22:02:33.000Z	['Видеокарта Intel', 'графика intel', 'intel dg1', 'software development vehicle']	15497	468	835	260773	PT5M11S	311
v-aFBUwP9_g	2020-01-07T15:53:47.000Z	['intel', 'tiger lake', 'tigerlake', 'aphena', '10 nm', 'DG1', 'gen 12', 'ces 2020', 'sony', 'ps5', 'vision - s', 'nvidia', 'pro hi-tech', 'PlayStation 5', 'PS5', 'новости технологий']	9965	161	599	139248	PT7M56S	476
mF8SNpGuUOM	2020-01-07T02:25:48.000Z	['CES 2020', 'презентация AMD', 'Ryzen Threadripper 3990X', 'Ryzen 4000', 'RX 5600 XT']	13920	205	757	197393	PT9M7S	547
hLAeXsK_Po0	2020-01-07T01:52:51.000Z	['CES', 'Keynote', 'Перевод', 'Перевод презентации']	2376	101	388	45454	PT1H14M7S	4447
-dI5U-LZEsU	2020-01-06T23:28:20.000Z	['CES', 'Keynote', 'Перевод', 'Перевод презентации']	4801	90	528	68551	PT51M24S	3084
ix5X7p6OeS0	2020-01-06T23:00:08.000Z	['Asus', 'Ryzen 4000', 'AMD', 'INTEL', 'mobile', 'zephyrus', 'vivobook', 'tuf gaming', 'expertbook']	8762	252	796	158903	PT21M53S	1313
qOshlfe9w1I	2019-12-30T21:31:52.000Z		7215	167	478	84420	PT5M40S	340
nFk1W5zfEB0	2019-12-25T18:21:27.000Z	['red devil', 'nitro+', 'pulse', 'strix', 'OC', 'сравнение видеокарт', '5700XT', 'тест']	14610	184	1749	182637	PT16M19S	979
pEJ87CTqel0	2019-12-21T16:53:45.000Z	['эргономика', 'когнитивная эргономика', 'инженерная психология', 'как спать в самолете', 'кресло чтобы не болела спина']	14074	311	817	90076	PT15M44S	944
cBS0x4_YXZc	2019-12-19T15:00:04.000Z	['ryzen 9 3950X', 'threadripper 3960X', 'Threadripper 3970X', 'Intel Core i9-10980XE', 'Intel vs AMD', 'выбор процессора для работы', 'работа с 3D и видео']	13231	249	1211	211814	PT38M47S	2327
Cz3M5DRNCD4	2019-12-19T00:47:47.000Z		7647	131	422	94076	PT6M11S	371
L2O-9ASEdJM	2019-12-16T09:41:25.000Z		8868	394	1414	127361	PT14M26S	866
Akfgfdx_24U	2019-12-13T11:25:55.000Z	['asus', 'vivobook', 's532', 'x512', 'lenovo Y7070', 'выбор ноутбука', 'ноутбук для работы']	7484	252	977	165813	PT22M54S	1374
A5obY1HuEDs	2019-12-12T18:35:27.000Z	['AMD Radeon RX 5500 XT', 'AMD Radeon RX 5500', 'Nvidia Geforce GTX 1650 Super']	6245	233	688	84232	PT4M19S	259
JooU0tBP6S4	2019-12-10T14:00:04.000Z	['AMD Radeon', 'АМД Радеон', 'Видеокарта АМД']	7996	576	1036	124495	PT10M37S	637
yM8hkJVhIaM	2019-12-07T17:05:07.000Z	['искусственная кожа', 'заживление кожи', 'восстановление кожи', 'операция']	6895	147	479	43064	PT13M49S	829
4Z1CdRyGow0	2019-12-02T05:00:01.000Z	['перегрев vrm', 'охлаждение vrm', 'температура vrm', 'питание процессора', 'выбор материнской платы', 'как выбрать материнскую плату', 'ASUS ROG Maximus XI Gene', 'Intel Core i9-9900KS']	8678	249	578	99026	PT9M2S	542
XPXn5CIE6sE	2019-11-28T23:06:23.000Z	['RTX 2080 Ti Super', 'RTX 2080 Ti 16 GBPS', 'Ryzen 4000', 'Zen3', 'Ryzen 2020', 'Intel Samsung', 'Intel Mediatek', 'Intel 5G']	8042	233	430	101053	PT8M52S	532
x3pai5tZCEM	2019-11-26T12:30:30.000Z	['Ryzen Threadripper 3960X', 'Ryzen Threadripper 3970X', 'Intel Core i9 10980XE', '10940X', '10920X', '10900X']	11620	358	985	159559	PT7M36S	456
